company,producing_country
Anglo American,Australia
Anglo American,Botswana
Anglo American,Brazil
Anglo American,Canada
Anglo American,Chile
Anglo American,Colombia
Anglo American,Namibia
Anglo American,South Africa
Anglo American,Zimbabwe
AngloGold Ashanti,Argentina
AngloGold Ashanti,Australia
AngloGold Ashanti,Brazil
AngloGold Ashanti,DRC
AngloGold Ashanti,Ghana
AngloGold Ashanti,Guinea
AngloGold Ashanti,Tanzania
Antofagasta,Chile
ArcelorMittal,Bosnia and Herzegovina
ArcelorMittal,Brazil
ArcelorMittal,Canada
ArcelorMittal,Kazakhstan
ArcelorMittal,Liberia
ArcelorMittal,Mexico
ArcelorMittal,Ukraine
Banpu,Australia
Banpu,China
Banpu,Indonesia
Barrick,Argentina
Barrick,Canada
Barrick,Chile
Barrick,Côte d'Ivoire
Barrick,Dominican Republic
Barrick,DRC
Barrick,Mali
Barrick,Saudi Arabia
Barrick,Tanzania
Barrick,USA
Barrick,Zambia
BHP,Australia
BHP,Chile
BHP,Colombia
BHP,Peru
BHP,USA
Boliden,Finland
Boliden,Ireland
Boliden,Sweden
Buenaventura,Peru
Bumi Resources,Indonesia
China Shenhua,China
China Shenhua,Indonesia
Coal India,India
CODELCO,Chile
ERG,Brazil
ERG,DRC
ERG,Kazakhstan
Evraz,Russian Federation
Exxaro,Australia
Exxaro,South Africa
First Quantum,Finland
First Quantum,Mauritania
First Quantum,Panama
First Quantum,Spain
First Quantum,Turkey
First Quantum,Zambia
Fortescue,Australia
Freeport-McMoRan,Chile
Freeport-McMoRan,Indonesia
Freeport-McMoRan,Peru
Freeport-McMoRan,USA
Glencore,Argentina
Glencore,Australia
Glencore,Bolivia
Glencore,Canada
Glencore,Chile
Glencore,Colombia
Glencore,DRC
Glencore,Kazakhstan
Glencore,New Caledonia
Glencore,Peru
Glencore,South Africa
Gold Fields,Australia
Gold Fields,Ghana
Gold Fields,Peru
Gold Fields,South Africa
Grupo México,Mexico
Grupo México,Peru
Grupo México,USA
KGHM,Canada
KGHM,Chile
KGHM,Poland
KGHM,USA
MMG,Australia
MMG,DRC
MMG,Peru
Navoi MMC,Uzbekistan
Newcrest,Australia
Newcrest,Canada
Newcrest,Papua New Guinea
Newmont,Argentina
Newmont,Australia
Newmont,Canada
Newmont,Dominican Republic
Newmont,Ghana
Newmont,Mexico
Newmont,Peru
Newmont,Suriname
Newmont,USA
NMDC,India
Nordgold,Burkina Faso
Nordgold,Guinea
Nordgold,Kazakhstan
Nordgold,Russian Federation
OCP Group,Morocco
Orano,Canada
Orano,Kazakhstan
Orano,Niger
Peñoles,Mexico
Polymetal,Kazakhstan
Polymetal,Russian Federation
Rio Tinto,Australia
Rio Tinto,Canada
Rio Tinto,Chile
Rio Tinto,Madagascar
Rio Tinto,Mongolia
Rio Tinto,South Africa
Rio Tinto,USA
RUSAL,Guinea
RUSAL,Jamaica
RUSAL,Kazakhstan
RUSAL,Russian Federation
RUSAL,Ukraine
Sibanye-Stillwater,South Africa
Sibanye-Stillwater,USA
Sibanye-Stillwater,Zimbabwe
Teck,Canada
Teck,Chile
Teck,Peru
Teck,USA
Vale,Brazil
Vale,Canada
Vale,Indonesia
Vale,Mozambique
Vedanta,India
Vedanta,Namibia
Vedanta,South Africa
Vedanta,Zambia
Zijin,Australia
Zijin,China
Zijin,DRC
Zijin,Eritrea
Zijin,Guyana
Zijin,Kyrgyzstan
Zijin,Russian Federation
Zijin,Serbia
Zijin,Tajikistan
